Customer ID,Customer_Segment,Order_Count,Customer_Type
12699.0,Potential Loyalists,1,One-Time Customer
12701.0,Loyal Customers,4,Repeat Customer
12703.0,Potential Loyalists,3,Repeat Customer
12705.0,VIP / Champions,5,Repeat Customer
12708.0,VIP / Champions,9,Repeat Customer
12709.0,VIP / Champions,20,Repeat Customer
12711.0,Potential Loyalists,2,Repeat Customer
12712.0,VIP / Champions,10,Repeat Customer
12714.0,VIP / Champions,7,Repeat Customer
12717.0,Lost / Hibernating,1,One-Time Customer
12720.0,VIP / Champions,6,Repeat Customer
12721.0,Loyal Customers,2,Repeat Customer
12724.0,Loyal Customers,3,Repeat Customer
12725.0,VIP / Champions,4,Repeat Customer
12726.0,Loyal Customers,4,Repeat Customer
12727.0,Potential Loyalists,3,Repeat Customer
12728.0,At Risk,1,One-Time Customer
12730.0,At Risk,1,One-Time Customer
12731.0,Loyal Customers,5,Repeat Customer
12733.0,Loyal Customers,3,Repeat Customer
12734.0,Loyal Customers,2,Repeat Customer
12737.0,Potential Loyalists,2,Repeat Customer
12738.0,Potential Loyalists,1,One-Time Customer
12739.0,Loyal Customers,2,Repeat Customer
12741.0,At Risk,2,Repeat Customer
12742.0,At Risk,1,One-Time Customer
12744.0,Loyal Customers,4,Repeat Customer
12745.0,Potential Loyalists,3,Repeat Customer
12746.0,At Risk,1,One-Time Customer
12747.0,VIP / Champions,16,Repeat Customer
12748.0,VIP / Champions,144,Repeat Customer
12749.0,VIP / Champions,4,Repeat Customer
12751.0,At Risk,1,One-Time Customer
12755.0,VIP / Champions,10,Repeat Customer
12758.0,Loyal Customers,5,Repeat Customer
12759.0,VIP / Champions,5,Repeat Customer
12760.0,At Risk,1,One-Time Customer
12761.0,Potential Loyalists,2,Repeat Customer
12763.0,Potential Loyalists,1,One-Time Customer
12765.0,Loyal Customers,6,Repeat Customer
12766.0,VIP / Champions,3,Repeat Customer
12767.0,Potential Loyalists,1,One-Time Customer
12768.0,Lost / Hibernating,1,One-Time Customer
12770.0,Potential Loyalists,1,One-Time Customer
12771.0,At Risk,1,One-Time Customer
12773.0,Lost / Hibernating,1,One-Time Customer
12774.0,Lost / Hibernating,1,One-Time Customer
12775.0,Potential Loyalists,2,Repeat Customer
12776.0,Lost / Hibernating,1,One-Time Customer
12777.0,At Risk,1,One-Time Customer
12778.0,Loyal Customers,3,Repeat Customer
12779.0,VIP / Champions,7,Repeat Customer
12780.0,Lost / Hibernating,1,One-Time Customer
12782.0,VIP / Champions,6,Repeat Customer
12784.0,Potential Loyalists,1,One-Time Customer
12785.0,Potential Loyalists,2,Repeat Customer
12786.0,At Risk,1,One-Time Customer
12787.0,At Risk,1,One-Time Customer
12788.0,Potential Loyalists,4,Repeat Customer
12789.0,At Risk,2,Repeat Customer
12790.0,At Risk,1,One-Time Customer
12791.0,Loyal Customers,6,Repeat Customer
12792.0,At Risk,1,One-Time Customer
12793.0,Potential Loyalists,2,Repeat Customer
12796.0,Lost / Hibernating,1,One-Time Customer
12797.0,Loyal Customers,2,Repeat Customer
12798.0,Potential Loyalists,1,One-Time Customer
12799.0,Lost / Hibernating,1,One-Time Customer
12800.0,Potential Loyalists,3,Repeat Customer
12801.0,Potential Loyalists,1,One-Time Customer
12802.0,Loyal Customers,6,Repeat Customer
12803.0,Potential Loyalists,1,One-Time Customer
12804.0,At Risk,2,Repeat Customer
12805.0,Loyal Customers,4,Repeat Customer
12806.0,Loyal Customers,4,Repeat Customer
12807.0,Potential Loyalists,1,One-Time Customer
12808.0,Loyal Customers,3,Repeat Customer
12809.0,Potential Loyalists,2,Repeat Customer
12810.0,Potential Loyalists,2,Repeat Customer
12811.0,Loyal Customers,2,Repeat Customer
12813.0,Potential Loyalists,3,Repeat Customer
12817.0,Potential Loyalists,2,Repeat Customer
12819.0,At Risk,1,One-Time Customer
12820.0,VIP / Champions,7,Repeat Customer
12821.0,Lost / Hibernating,1,One-Time Customer
12823.0,VIP / Champions,13,Repeat Customer
12825.0,Potential Loyalists,2,Repeat Customer
12826.0,VIP / Champions,6,Repeat Customer
12829.0,Lost / Hibernating,1,One-Time Customer
12831.0,At Risk,2,Repeat Customer
12835.0,VIP / Champions,41,Repeat Customer
12836.0,VIP / Champions,11,Repeat Customer
12837.0,At Risk,1,One-Time Customer
12838.0,VIP / Champions,9,Repeat Customer
12839.0,VIP / Champions,13,Repeat Customer
12840.0,Potential Loyalists,3,Repeat Customer
12841.0,VIP / Champions,17,Repeat Customer
12842.0,Potential Loyalists,2,Repeat Customer
12843.0,VIP / Champions,22,Repeat Customer
12844.0,At Risk,2,Repeat Customer
12846.0,Lost / Hibernating,1,One-Time Customer
12847.0,Potential Loyalists,1,One-Time Customer
12848.0,Lost / Hibernating,1,One-Time Customer
12849.0,Loyal Customers,4,Repeat Customer
12850.0,At Risk,1,One-Time Customer
12851.0,Lost / Hibernating,1,One-Time Customer
12853.0,Loyal Customers,5,Repeat Customer
12854.0,Potential Loyalists,4,Repeat Customer
12855.0,Loyal Customers,4,Repeat Customer
12857.0,Loyal Customers,4,Repeat Customer
12858.0,At Risk,1,One-Time Customer
12859.0,At Risk,1,One-Time Customer
12860.0,Lost / Hibernating,1,One-Time Customer
12861.0,Lost / Hibernating,1,One-Time Customer
12862.0,Potential Loyalists,2,Repeat Customer
12863.0,VIP / Champions,5,Repeat Customer
12864.0,Lost / Hibernating,1,One-Time Customer
12865.0,Loyal Customers,2,Repeat Customer
12866.0,Potential Loyalists,2,Repeat Customer
12867.0,VIP / Champions,6,Repeat Customer
12868.0,Loyal Customers,3,Repeat Customer
12869.0,Lost / Hibernating,1,One-Time Customer
12870.0,Loyal Customers,3,Repeat Customer
12871.0,At Risk,1,One-Time Customer
12872.0,VIP / Champions,11,Repeat Customer
12873.0,Loyal Customers,2,Repeat Customer
12874.0,Potential Loyalists,2,Repeat Customer
12875.0,Potential Loyalists,3,Repeat Customer
12876.0,Loyal Customers,2,Repeat Customer
12877.0,Loyal Customers,8,Repeat Customer
12880.0,Potential Loyalists,2,Repeat Customer
12887.0,At Risk,1,One-Time Customer
12889.0,Loyal Customers,4,Repeat Customer
12890.0,Potential Loyalists,1,One-Time Customer
12891.0,Loyal Customers,8,Repeat Customer
12892.0,Potential Loyalists,1,One-Time Customer
12894.0,Lost / Hibernating,1,One-Time Customer
12897.0,Potential Loyalists,2,Repeat Customer
12898.0,At Risk,2,Repeat Customer
12899.0,At Risk,1,One-Time Customer
12900.0,At Risk,1,One-Time Customer
12903.0,Potential Loyalists,1,One-Time Customer
12905.0,Potential Loyalists,2,Repeat Customer
12907.0,Potential Loyalists,2,Repeat Customer
12908.0,Loyal Customers,3,Repeat Customer
12909.0,Potential Loyalists,3,Repeat Customer
12910.0,VIP / Champions,5,Repeat Customer
12911.0,At Risk,1,One-Time Customer
12913.0,VIP / Champions,9,Repeat Customer
12914.0,At Risk,1,One-Time Customer
12915.0,Loyal Customers,3,Repeat Customer
12916.0,Potential Loyalists,3,Repeat Customer
12917.0,VIP / Champions,5,Repeat Customer
12918.0,Potential Loyalists,1,One-Time Customer
12920.0,At Risk,3,Repeat Customer
12921.0,VIP / Champions,39,Repeat Customer
12923.0,Potential Loyalists,2,Repeat Customer
12924.0,VIP / Champions,8,Repeat Customer
12925.0,Lost / Hibernating,1,One-Time Customer
12926.0,Loyal Customers,4,Repeat Customer
12927.0,At Risk,1,One-Time Customer
12928.0,VIP / Champions,7,Repeat Customer
12931.0,VIP / Champions,42,Repeat Customer
12932.0,Loyal Customers,8,Repeat Customer
12933.0,Loyal Customers,5,Repeat Customer
12934.0,Lost / Hibernating,1,One-Time Customer
12935.0,VIP / Champions,8,Repeat Customer
12937.0,Loyal Customers,5,Repeat Customer
12939.0,VIP / Champions,12,Repeat Customer
12941.0,Lost / Hibernating,1,One-Time Customer
12942.0,Potential Loyalists,1,One-Time Customer
12943.0,At Risk,2,Repeat Customer
12945.0,Lost / Hibernating,1,One-Time Customer
12946.0,At Risk,1,One-Time Customer
12947.0,Potential Loyalists,1,One-Time Customer
12948.0,At Risk,2,Repeat Customer
12949.0,VIP / Champions,14,Repeat Customer
12951.0,VIP / Champions,9,Repeat Customer
12953.0,At Risk,1,One-Time Customer
12954.0,Lost / Hibernating,1,One-Time Customer
12956.0,At Risk,3,Repeat Customer
12957.0,Loyal Customers,5,Repeat Customer
12958.0,Potential Loyalists,2,Repeat Customer
12959.0,Lost / Hibernating,1,One-Time Customer
12960.0,Loyal Customers,4,Repeat Customer
12961.0,Potential Loyalists,1,One-Time Customer
12963.0,VIP / Champions,5,Repeat Customer
12964.0,Lost / Hibernating,1,One-Time Customer
12967.0,Loyal Customers,2,Repeat Customer
12969.0,Lost / Hibernating,1,One-Time Customer
12970.0,Loyal Customers,6,Repeat Customer
12971.0,VIP / Champions,33,Repeat Customer
12972.0,Loyal Customers,4,Repeat Customer
12973.0,At Risk,1,One-Time Customer
12974.0,Lost / Hibernating,1,One-Time Customer
12975.0,Loyal Customers,6,Repeat Customer
12976.0,VIP / Champions,7,Repeat Customer
12977.0,Potential Loyalists,3,Repeat Customer
12978.0,VIP / Champions,5,Repeat Customer
12979.0,At Risk,1,One-Time Customer
12980.0,VIP / Champions,12,Repeat Customer
12982.0,VIP / Champions,7,Repeat Customer
12983.0,Lost / Hibernating,1,One-Time Customer
12986.0,VIP / Champions,10,Repeat Customer
12987.0,Potential Loyalists,3,Repeat Customer
12989.0,VIP / Champions,18,Repeat Customer
12990.0,Loyal Customers,4,Repeat Customer
12991.0,Potential Loyalists,1,One-Time Customer
12992.0,Lost / Hibernating,1,One-Time Customer
12993.0,Potential Loyalists,4,Repeat Customer
12996.0,Potential Loyalists,1,One-Time Customer
12997.0,Loyal Customers,4,Repeat Customer
12998.0,Potential Loyalists,3,Repeat Customer
13000.0,Lost / Hibernating,1,One-Time Customer
13001.0,VIP / Champions,20,Repeat Customer
13002.0,Potential Loyalists,2,Repeat Customer
13004.0,VIP / Champions,18,Repeat Customer
13005.0,Potential Loyalists,2,Repeat Customer
13007.0,Lost / Hibernating,1,One-Time Customer
13008.0,Potential Loyalists,2,Repeat Customer
13009.0,Lost / Hibernating,1,One-Time Customer
13010.0,Potential Loyalists,2,Repeat Customer
13011.0,Potential Loyalists,1,One-Time Customer
13012.0,Loyal Customers,3,Repeat Customer
13013.0,VIP / Champions,18,Repeat Customer
13014.0,Potential Loyalists,1,One-Time Customer
13015.0,Loyal Customers,6,Repeat Customer
13018.0,VIP / Champions,7,Repeat Customer
13019.0,VIP / Champions,6,Repeat Customer
13020.0,At Risk,2,Repeat Customer
13021.0,VIP / Champions,8,Repeat Customer
13022.0,At Risk,1,One-Time Customer
13023.0,At Risk,1,One-Time Customer
13024.0,Potential Loyalists,2,Repeat Customer
13025.0,Lost / Hibernating,1,One-Time Customer
13026.0,Potential Loyalists,4,Repeat Customer
13027.0,VIP / Champions,13,Repeat Customer
13029.0,Loyal Customers,2,Repeat Customer
13030.0,Potential Loyalists,1,One-Time Customer
13031.0,Loyal Customers,5,Repeat Customer
13032.0,VIP / Champions,7,Repeat Customer
13033.0,At Risk,1,One-Time Customer
13034.0,Potential Loyalists,2,Repeat Customer
13035.0,At Risk,1,One-Time Customer
13036.0,Lost / Hibernating,1,One-Time Customer
13037.0,VIP / Champions,9,Repeat Customer
13039.0,Potential Loyalists,4,Repeat Customer
13041.0,Potential Loyalists,4,Repeat Customer
13042.0,Potential Loyalists,3,Repeat Customer
13044.0,Loyal Customers,10,Repeat Customer
13045.0,Potential Loyalists,2,Repeat Customer
13046.0,At Risk,1,One-Time Customer
13047.0,VIP / Champions,17,Repeat Customer
13048.0,Loyal Customers,5,Repeat Customer
13049.0,Potential Loyalists,2,Repeat Customer
13050.0,VIP / Champions,19,Repeat Customer
13051.0,Lost / Hibernating,2,Repeat Customer
13052.0,Loyal Customers,6,Repeat Customer
13053.0,Lost / Hibernating,1,One-Time Customer
13055.0,Potential Loyalists,1,One-Time Customer
13056.0,Lost / Hibernating,1,One-Time Customer
13057.0,Potential Loyalists,3,Repeat Customer
13059.0,Loyal Customers,9,Repeat Customer
13063.0,Lost / Hibernating,1,One-Time Customer
13064.0,At Risk,2,Repeat Customer
13065.0,VIP / Champions,5,Repeat Customer
13067.0,Potential Loyalists,2,Repeat Customer
13069.0,VIP / Champions,16,Repeat Customer
13070.0,Potential Loyalists,3,Repeat Customer
13071.0,Lost / Hibernating,1,One-Time Customer
13073.0,Potential Loyalists,2,Repeat Customer
13074.0,Loyal Customers,4,Repeat Customer
13076.0,Lost / Hibernating,1,One-Time Customer
13077.0,VIP / Champions,8,Repeat Customer
13078.0,VIP / Champions,32,Repeat Customer
13079.0,At Risk,1,One-Time Customer
13080.0,Potential Loyalists,3,Repeat Customer
13081.0,VIP / Champions,19,Repeat Customer
13082.0,VIP / Champions,12,Repeat Customer
13083.0,At Risk,1,One-Time Customer
13084.0,Lost / Hibernating,1,One-Time Customer
13085.0,Potential Loyalists,6,Repeat Customer
13086.0,Potential Loyalists,1,One-Time Customer
13087.0,Lost / Hibernating,1,One-Time Customer
13088.0,At Risk,1,One-Time Customer
13089.0,VIP / Champions,109,Repeat Customer
13090.0,VIP / Champions,13,Repeat Customer
13091.0,Potential Loyalists,2,Repeat Customer
13092.0,Loyal Customers,7,Repeat Customer
13093.0,VIP / Champions,48,Repeat Customer
13094.0,Loyal Customers,2,Repeat Customer
13096.0,Potential Loyalists,1,One-Time Customer
13097.0,VIP / Champions,18,Repeat Customer
13101.0,Potential Loyalists,3,Repeat Customer
13102.0,VIP / Champions,14,Repeat Customer
13103.0,At Risk,2,Repeat Customer
13104.0,Potential Loyalists,3,Repeat Customer
13105.0,Lost / Hibernating,1,One-Time Customer
13106.0,Potential Loyalists,1,One-Time Customer
13107.0,Loyal Customers,5,Repeat Customer
13108.0,Loyal Customers,2,Repeat Customer
13109.0,Lost / Hibernating,1,One-Time Customer
13110.0,Loyal Customers,5,Repeat Customer
13111.0,Lost / Hibernating,1,One-Time Customer
13112.0,Lost / Hibernating,1,One-Time Customer
13113.0,VIP / Champions,14,Repeat Customer
13114.0,Lost / Hibernating,1,One-Time Customer
13115.0,VIP / Champions,6,Repeat Customer
13117.0,VIP / Champions,12,Repeat Customer
13118.0,VIP / Champions,4,Repeat Customer
13119.0,Lost / Hibernating,1,One-Time Customer
13123.0,Potential Loyalists,2,Repeat Customer
13124.0,Potential Loyalists,1,One-Time Customer
13125.0,Lost / Hibernating,1,One-Time Customer
13126.0,VIP / Champions,7,Repeat Customer
13128.0,Lost / Hibernating,1,One-Time Customer
13129.0,At Risk,2,Repeat Customer
13131.0,Loyal Customers,4,Repeat Customer
13133.0,Lost / Hibernating,1,One-Time Customer
13134.0,Potential Loyalists,2,Repeat Customer
13135.0,At Risk,1,One-Time Customer
13136.0,VIP / Champions,8,Repeat Customer
13137.0,VIP / Champions,8,Repeat Customer
13138.0,Loyal Customers,2,Repeat Customer
13139.0,Potential Loyalists,1,One-Time Customer
13140.0,Loyal Customers,3,Repeat Customer
13141.0,VIP / Champions,12,Repeat Customer
13143.0,Lost / Hibernating,1,One-Time Customer
13144.0,At Risk,1,One-Time Customer
13145.0,Loyal Customers,4,Repeat Customer
13148.0,VIP / Champions,14,Repeat Customer
13150.0,Potential Loyalists,3,Repeat Customer
13151.0,Potential Loyalists,2,Repeat Customer
13152.0,VIP / Champions,7,Repeat Customer
13154.0,Loyal Customers,3,Repeat Customer
13155.0,Loyal Customers,3,Repeat Customer
13156.0,Loyal Customers,3,Repeat Customer
13157.0,Loyal Customers,5,Repeat Customer
13158.0,Potential Loyalists,1,One-Time Customer
13161.0,At Risk,1,One-Time Customer
13162.0,VIP / Champions,12,Repeat Customer
13163.0,Lost / Hibernating,1,One-Time Customer
13164.0,At Risk,2,Repeat Customer
13165.0,At Risk,1,One-Time Customer
13166.0,At Risk,1,One-Time Customer
13167.0,Potential Loyalists,1,One-Time Customer
13168.0,At Risk,1,One-Time Customer
13169.0,Lost / Hibernating,1,One-Time Customer
13172.0,At Risk,1,One-Time Customer
13173.0,VIP / Champions,10,Repeat Customer
13174.0,VIP / Champions,10,Repeat Customer
13175.0,At Risk,2,Repeat Customer
13177.0,At Risk,1,One-Time Customer
13178.0,VIP / Champions,10,Repeat Customer
13179.0,At Risk,1,One-Time Customer
13180.0,Lost / Hibernating,1,One-Time Customer
13181.0,Potential Loyalists,1,One-Time Customer
13183.0,VIP / Champions,6,Repeat Customer
13187.0,At Risk,3,Repeat Customer
13190.0,Potential Loyalists,3,Repeat Customer
13191.0,Lost / Hibernating,1,One-Time Customer
13192.0,Loyal Customers,4,Repeat Customer
13194.0,At Risk,1,One-Time Customer
13195.0,At Risk,1,One-Time Customer
13196.0,Potential Loyalists,3,Repeat Customer
13197.0,Lost / Hibernating,1,One-Time Customer
13198.0,Loyal Customers,2,Repeat Customer
13199.0,VIP / Champions,30,Repeat Customer
13201.0,Loyal Customers,4,Repeat Customer
13202.0,VIP / Champions,7,Repeat Customer
13203.0,Loyal Customers,6,Repeat Customer
13204.0,At Risk,1,One-Time Customer
13205.0,Potential Loyalists,1,One-Time Customer
13206.0,VIP / Champions,13,Repeat Customer
13207.0,At Risk,2,Repeat Customer
13208.0,Potential Loyalists,3,Repeat Customer
13209.0,Loyal Customers,5,Repeat Customer
13211.0,VIP / Champions,7,Repeat Customer
13213.0,VIP / Champions,6,Repeat Customer
13214.0,VIP / Champions,7,Repeat Customer
13215.0,At Risk,1,One-Time Customer
13217.0,Lost / Hibernating,1,One-Time Customer
13219.0,Lost / Hibernating,1,One-Time Customer
13220.0,At Risk,1,One-Time Customer
13222.0,Lost / Hibernating,1,One-Time Customer
