StockCode,Description,Sales Amount
48188,DOOR MAT WELCOME PUPPIES,8429.7
22946,WOODEN ADVENT CALENDAR CREAM,8421.1
21533,RETRO SPOT LARGE MILK JUG,8420.28
21165,BEWARE OF THE CAT METAL SIGN ,8415.65
22386,JUMBO BAG PINK POLKADOT,8405.710000000001
47567B,TEA TIME KITCHEN APRON,8400.49
21429,RED GINGHAM ROSE JEWELLERY BOX,8352.38
21380,WOODEN HAPPY BIRTHDAY GARLAND,8335.970000000001
22273,FELTCRAFT DOLL MOLLY,8299.93
21982,PACK OF 12 SUKI TISSUES ,8280.279999999999
84880,WHITE WIRE EGG HOLDER,8262.52
48111,DOORMAT 3 SMILEY CATS,8243.24
22654,DELUXE SEWING KIT ,8242.92
21523,DOOR MAT FANCY FONT HOME SWEET HOME,8238.8
48188,DOORMAT WELCOME PUPPIES,8238.49
22468,BABUSHKA LIGHTS STRING OF 10,8213.460000000001
22697,GREEN REGENCY TEACUP AND SAUCER,8203.67
22666,RECIPE BOX PANTRY YELLOW DESIGN,8201.25
22064,PINK DOUGHNUT TRINKET POT ,8190.8099999999995
85067,CREAM SWEETHEART WALL CABINET,8183.04
15056P,EDWARDIAN PARASOL PINK,8124.55
21868,POTTING SHED TEA MUG,8123.97
22940,FELTCRAFT CHRISTMAS FAIRY,8119.04
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,8098.09
20723,STRAWBERRY CHARLOTTE BAG,8092.07
21260,FIRST AID TIN,8053.45
20750,RED/WHITE DOT MINI CASES,8051.57
22366,DOORMAT AIRMAIL ,8021.5599999999995
22041,"RECORD FRAME 7"" SINGLE SIZE ",8016.900000000001
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,8001.150000000001
21121,SET/10 RED SPOTTY PARTY CANDLES,7990.77
21936,RED RETROSPOT PICNIC BAG,7988.3099999999995
20828,GLITTER BUTTERFLY CLIPS,7987.9800000000005
21035,SET/2 RED SPOTTY TEA TOWELS ,7960.570000000001
21769,VINTAGE POST OFFICE CABINET,7954.87
21527,RETRO SPOT TRADITIONAL TEAPOT ,7937.910000000001
47570B,TEA TIME TABLE CLOTH,7937.64
21912,VINTAGE SNAKES & LADDERS,7887.04
22207,FRYING PAN UNION FLAG,7882.32
22275,WEEKEND BAG VINTAGE ROSE PAISLEY,7875.33
21914,BLUE HARMONICA IN BOX ,7854.54
22082,RIBBON REEL STRIPES DESIGN ,7842.89
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,7802.7699999999995
22952,60 CAKE CASES VINTAGE CHRISTMAS,7793.77
20685,DOORMAT RED SPOT,7765.42
22179,SET 10 LIGHTS NIGHT OWL,7727.55
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,7719.65
37370,RETRO COFFEE MUGS ASSORTED,7710.05
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,7703.91
21212,PACK OF 72 RETROSPOT CAKE CASES,7647.92
47556B,TEA TIME TEA TOWELS ,7646.02
22464,HANGING METAL HEART LANTERN,7643.949999999999
22528,GARDENERS KNEELING PAD,7623.41
22485,SET OF 2 WOODEN MARKET CRATES,7589.49
20685,RED SPOTTY COIR DOORMAT,7563.34
22812,PACK 3 BOXES CHRISTMAS PANNETONE,7557.379999999999
21781,MA CAMPAGNE CUTLERY BOX,7553.62
22150,3 STRIPEY MICE FELTCRAFT,7550.58
21257,VICTORIAN SEWING BOX MEDIUM,7532.76
85065,CREAM SWEETHEART TRAYS,7524.44
21888,BINGO SET,7493.3
51008,AFGHAN SLIPPER SOCK PAIR,7488.7
22649,STRAWBERRY FAIRY CAKE TEAPOT,7486.04
22584,PACK OF 6 PANNETONE GIFT BOXES,7480.83
22646,CERAMIC STRAWBERRY CAKE MONEY BANK,7467.04
22380,TOY TIDY SPACEBOY  ,7458.96
21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,7456.31
22088,PAPER BUNTING COLOURED LACE,7442.39
48184,DOORMAT ENGLISH ROSE ,7434.84
22623,BOX OF VINTAGE JIGSAW BLOCKS ,7429.27
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,7423.049999999999
84987,SET OF 36 TEATIME PAPER DOILIES,7419.73
22301,COFFEE MUG CAT + BIRD DESIGN,7418.83
21216,"SET 3 RED SPOT TIN TEA,COFFEE,SUGAR",7404.09
21259,VICTORIAN SEWING BOX SMALL ,7379.780000000001
21737,SET 3 WICKER LOG BASKETS,7362.66
85064,CREAM SWEETHEART LETTER RACK,7328.96
22121,NOEL WOODEN BLOCK LETTERS ,7323.030000000001
22694,WICKER STAR ,7280.280000000001
22109,FULL ENGLISH BREAKFAST PLATE,7276.53
22357,KINGS CHOICE BISCUIT TIN,7270.78
72351B,SET/6 PINK  BUTTERFLY T-LIGHTS,7252.6900000000005
21871,SAVE THE PLANET MUG,7220.95
22727,ALARM CLOCK BAKELIKE RED ,7212.74
21937,STRAWBERRY   PICNIC BAG,7193.11
20829,GLITTER HANGING BUTTERFLY STRING,7152.490000000001
22759,SET OF 3 NOTEBOOKS IN PARCEL,7148.599999999999
21974,SET OF 36 PAISLEY FLOWER DOILIES,7110.7
48173C,DOOR MAT BLACK FLOCK ,7100.21
21169,YOU'RE CONFUSING ME METAL SIGN ,7095.92
84375,SET OF 20 KIDS COOKIE CUTTERS,7080.07
48116,DOOR MAT MULTICOLOUR STRIPE,7078.28
48129,DOORMAT TOPIARY,7061.75
21935,SUKI  SHOULDER BAG,7055.2
84378,SET OF 3 HEART COOKIE CUTTERS,7048.9800000000005
84212,"ASSORTED FLOWER COLOUR ""LEIS""",7027.27
35961,FOLKART ZINC HEART CHRISTMAS DEC,7002.82
22365,DOORMAT RESPECTABLE HOUSE,6984.21
22274,FELTCRAFT DOLL EMILY,6973.02
21890,S/6 WOODEN SKITTLES IN COTTON BAG,6951.64
84997A,GREEN 3 PIECE MINI DOTS CUTLERY SET,6948.650000000001
21770,OPEN CLOSED METAL SIGN,6883.370000000001
21122,SET/10 PINK SPOTTY PARTY CANDLES,6882.16
21669,BLUE STRIPE CERAMIC DRAWER KNOB,6879.92
85220,SMALL FAIRY CAKE FRIDGE MAGNETS,6875.0
47502,POLKADOT CUTLERY 24 PCS IN TRAY,6855.75
22627,MINT KITCHEN SCALES,6834.79
22427,ENAMEL FLOWER JUG CREAM,6816.3
21428,SET3 BOOK BOX GREEN GINGHAM FLOWER ,6812.3
22558,CLOTHES PEGS RETROSPOT PACK 24 ,6810.78
21768,WALL MOUNTED VINTAGE ORGANISER,6756.09
62018,SOMBRERO ,6739.85
22352,LUNCH BOX WITH CUTLERY RETROSPOT ,6724.5599999999995
21156,RETROSPOT CHILDRENS APRON,6718.03
47599A,PINK PARTY BAGS,6692.78
22417,PACK OF 60 SPACEBOY CAKE CASES,6686.85
22300,COFFEE MUG DOG + BALL DESIGN,6685.99
48129,DOOR MAT TOPIARY,6681.38
85014D,PINK/BROWN DOTS RUFFLED UMBRELLA,6664.45
85068,CREAM SWEETHEART SHELF + HOOKS,6647.24
85047,WHITE BEADED GARLAND STRING 20LIGHT,6645.28
C2,CARRIAGE,6625.0
21833,CAMOUFLAGE LED TORCH,6613.92
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,6608.25
82582,AREA PATROLLED METAL SIGN,6567.280000000001
ADJUST,Adjustment by john on 26/01/2010 17,6563.5
79000,MOROCCAN TEA GLASS,6552.18
22698,PINK REGENCY TEACUP AND SAUCER,6548.01
22618,COOKING SET RETROSPOT,6531.719999999999
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,6513.67
22726,ALARM CLOCK BAKELIKE GREEN,6511.06
21668,RED STRIPE CERAMIC DRAWER KNOB,6476.88
21535,RED RETROSPOT SMALL MILK JUG,6475.48
22580,ADVENT CALENDAR GINGHAM SACK,6429.530000000001
22215,CAKE STAND WHITE TWO TIER LACE,6398.04
84988,SET OF 72 PINK HEART PAPER DOILIES,6387.95
21671,RED SPOT CERAMIC DRAWER KNOB,6372.09
20725,LUNCH BAG RED RETROSPOT,6365.72
22303,COFFEE MUG APPLES DESIGN,6363.38
75049L,LARGE CIRCULAR MIRROR MOBILE,6343.33
47591D,PINK FAIRY CAKE CHILD'S APRON,6339.17
10002,INFLATABLE POLITICAL GLOBE ,6333.76
22804,CANDLEHOLDER PINK HANGING HEART,6311.13
22488,NATURAL SLATE RECTANGLE CHALKBOARD,6300.539999999999
21985,PACK OF 12 HEARTS DESIGN TISSUES ,6286.05
84792,ENCHANTED BIRD COATHANGER 5 HOOK,6284.7300000000005
22553,PLASTERS IN TIN SKULLS,6273.389999999999
20754,RETRO RED SPOTTY WASHING UP GLOVES,6257.39
22619,SET OF 6 SOLDIER SKITTLES,6257.28
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,6243.79
48173C,DOORMAT BLACK FLOCK ,6194.95
84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,6175.47
21361,LOVE LARGE WOOD LETTERS ,6154.86
21870,I CAN ONLY PLEASE ONE PERSON MUG,6147.82
21172,PARTY METAL SIGN ,6123.139999999999
22131,FOOD CONTAINER SET 3 LOVE HEART ,6108.55
21670,BLUE SPOT CERAMIC DRAWER KNOB,6099.8
21667,GLASS CAKE COVER AND PLATE,6096.349999999999
22055,MINI CAKE STAND  HANGING STRAWBERY,6096.0
21086,SET/6 RED SPOTTY PAPER CUPS,6088.25
22083,PAPER CHAIN KIT RETROSPOT,6052.9800000000005
21892,TRADITIONAL WOODEN CATCH CUP GAME ,6029.41
22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,6028.35
84032A,CHARLIE+LOLA PINK HOT WATER BOTTLE,6021.99
21844,RED RETROSPOT MUG,6007.620000000001
21385,IVORY HANGING DECORATION  HEART,5998.5
21907,I'M ON HOLIDAY METAL SIGN,5995.05
22358,KINGS CHOICE TEA CADDY ,5990.030000000001
21980,PACK OF 12 RED SPOTTY TISSUES ,5981.8099999999995
22690,DOORMAT HOME SWEET HOME BLUE ,5978.63
21124,SET/10 BLUE SPOTTY PARTY CANDLES,5966.95
21984,PACK OF 12 PINK PAISLEY TISSUES ,5958.07
22348,TEA BAG PLATE RED SPOTTY ,5934.19
22283,6 EGG HOUSE PAINTED WOOD,5902.52
22089,PAPER BUNTING VINTAGE PAISLEY,5872.4800000000005
79067,CORONA MEXICAN TRAY,5870.39
84520B,PACK 20 ENGLISH ROSE PAPER NAPKINS,5870.0
79323W,WHITE CHERRY LIGHTS,5850.06
21745,GAOLERS KEYS DECORATIVE GARDEN ,5845.59
84032B,CHARLIE + LOLA RED HOT WATER BOTTLE,5788.8
22327,ROUND SNACK BOXES SET OF 4 SKULLS,5750.240000000001
22329,ROUND CONTAINER SET OF 5 RETROSPOT,5727.61
21658,GLASS  BEURRE DISH,5724.67
21955,DOORMAT UNION JACK GUNS AND ROSES,5677.72
22588,CARD HOLDER GINGHAM HEART,5667.36
35970,ZINC FOLKART SLEIGH BELLS,5665.1
20676,RED SPOTTY BOWL,5660.1900000000005
22645,CERAMIC HEART FAIRY CAKE MONEY BANK,5656.15
21114,LAVENDER SCENTED FABRIC HEART,5621.58
22221,CAKE STAND LOVEBIRD 2 TIER PINK,5618.17
21716,BOYS VINTAGE TIN SEASIDE BUCKET,5618.0199999999995
84968B,S/16 VINTAGE IVORY CUTLERY,5617.66
22656,VINTAGE BLUE KITCHEN CABINET,5605.0
22575,METAL MERRY CHRISTMAS WREATH,5599.78
22078,RIBBON REEL LACE DESIGN ,5596.05
22195,LARGE HEART MEASURING SPOONS,5580.839999999999
22834,HAND WARMER BABUSHKA DESIGN,5559.620000000001
21749,LARGE RED SPOT WINDMILL,5554.92
21981,PACK OF 12 WOODLAND TISSUES ,5548.93
21411,GINGHAM HEART  DOORSTOP RED,5531.21
21242,RED SPOTTY PLATE ,5523.2
22900, SET 2 TEA TOWELS I LOVE LONDON ,5521.08
72807C,SET/3 VANILLA SCENTED CANDLE IN BOX,5518.19
21875,KINGS CHOICE MUG,5516.69
22748,POPPY'S PLAYHOUSE KITCHEN,5515.860000000001
21715,GIRLS VINTAGE TIN SEASIDE BUCKET,5510.63
21955,DOOR MAT UNION JACK GUNS AND ROSES,5510.39
16014,SMALL CHINESE STYLE SCISSOR,5503.64
21381,MINI WOODEN HAPPY BIRTHDAY GARLAND,5503.46
22904,CALENDAR PAPER CUT DESIGN,5488.580000000001
79029,GLASS HONEYPOT WASP CATCHER,5473.82
21135,VICTORIAN  METAL POSTCARD SPRING,5450.81
22942,CHRISTMAS LIGHTS 10 SANTAS ,5439.14
21432,SET OF 3 CASES WOODLAND DESIGN,5435.91
85063,CREAM SWEETHEART MAGAZINE RACK,5426.74
84937,KASHMIR FOLKART TUMBLERS,5394.54
21033,JUMBO BAG CHARLIE AND LOLA TOYS,5388.31
20970,PINK FLORAL FELTCRAFT SHOULDER BAG,5384.87
22151,PLACE SETTING WHITE HEART,5370.48
22219,LOVEBIRD HANGING DECORATION WHITE ,5370.13
22333,RETRO SPORT PARTY BAG + STICKER SET,5370.08
21491,SET OF THREE VINTAGE GIFT WRAPS,5365.0599999999995
22218,CAKE STAND LACE WHITE,5361.41
22302,COFFEE MUG PEARS  DESIGN,5358.16
35832,WOOLLY HAT SOCK GLOVE ADVENT STRING,5341.85
22085,PAPER CHAIN KIT SKULLS ,5337.53
