Invoice,Order_Revenue,Items,Customer
489827,445.7,382,17412.0
489829,472.47,237,16525.0
489830,628.14,240,13623.0
489831,1008.0,480,12435.0
489832,313.27,121,14549.0
489833,150.68,79,14980.0
489834,214.79999999999998,24,14106.0
489835,714.0,280,15061.0
489837,507.47,268,14396.0
489840,89.69999999999999,6,14122.0
489855,157.91,56,16987.0
489856,4463.74,817,
489857,5741.96,1226,
489861,46.07,34,
489862,734.7,150,17809.0
489863,66.82,21,15917.0
489864,206.85,79,14987.0
489865,234.87,53,14080.0
489866,987.73,577,16200.0
489867,118.95,45,
489868,675.0,248,15794.0
489869,39.980000000000004,27,16200.0
489870,162.1,118,15523.0
489871,735.7,274,15523.0
489872,632.9,320,15615.0
489873,10.2,12,15615.0
489874,176.6,144,18001.0
489875,525.71,217,17841.0
489876,39.85,22,15917.0
489877,368.1,162,13089.0
489878,140.16,55,15989.0
489879,163.47,138,17660.0
489880,380.28000000000003,552,13313.0
489882,0.0,12,
489883,578.28,263,12437.0
489884,3.61,19,13313.0
489888,597.4,660,14841.0
489889,4734.24,3200,14646.0
489890,976.8,592,14646.0
489891,181.08,144,15482.0
489892,39.8,4,
489893,300.1,98,16156.0
489894,520.2,396,17716.0
489895,371.82,266,12779.0
489896,337.93,227,13611.0
489897,260.44,176,15255.0
489898,0.0,954,
489900,287.37,253,14771.0
489902,119.10000000000001,18,14838.0
489903,0.0,48,
489904,203.78,150,13979.0
489905,478.7,242,13800.0
489906,120.0,96,14483.0
489907,202.06,104,14915.0
489908,107.33,41,16301.0
489909,642.2,428,13753.0
489910,144.0,288,15482.0
489912,1146.1000000000001,578,13931.0
489913,69.6,16,13931.0
489914,993.0,508,12921.0
489915,54.599999999999994,36,17035.0
489916,336.0,212,15194.0
489932,82.6,48,14347.0
489935,181.65,31,12934.0
489994,430.9,142,15291.0
489996,320.40000000000003,514,17209.0
489998,321.65,95,15658.0
489999,154.2,72,17314.0
490000,143.06,89,17155.0
490001,169.5,94,15965.0
490002,114.55,115,17322.0
490003,317.55,163,16159.0
490004,912.5600000000001,224,14051.0
490005,556.75,203,13993.0
490006,344.40000000000003,150,17411.0
490008,502.28,256,15768.0
490009,285.09,100,12835.0
490010,1008.0,480,15061.0
490011,221.69,138,16918.0
490012,763.35,339,15179.0
490013,500.55,395,17069.0
490014,740.46,406,15466.0
490015,0.0,467,
490017,393.65,267,14159.0
490018,4380.0,17520,17940.0
490019,308.6,116,17581.0
490020,37.8,14,17581.0
490021,10.2,12,17581.0
490022,45.60000000000001,24,17581.0
490023,189.15,49,16168.0
490024,215.0,121,14606.0
490030,58.2,12,
490034,69.82,30,17287.0
490045,180.39,109,17287.0
490046,228.3,66,13416.0
490047,263.85,131,17913.0
490048,1146.71,681,16779.0
490049,102.0,40,15794.0
490050,13.5,2,17913.0
490052,831.0,408,13895.0
490053,119.54,101,14057.0
490054,277.5,186,17017.0
490056,61.12,56,13208.0
490057,360.52,184,17465.0
490058,47.85,27,17465.0
490059,14475.0,4825,18102.0
490060,314.22,148,13468.0
490061,4000.0,2000,18102.0
490062,165.3,86,13485.0
490063,204.3,113,17271.0
490064,355.59000000000003,215,16139.0
490065,1260.0,600,15061.0
490066,372.2,212,15953.0
490067,952.61,412,15856.0
490068,284.3,90,13085.0
490069,161.39999999999998,60,13085.0
490070,236.25,68,14967.0
490071,294.85,111,16497.0
490072,187.15,69,17764.0
490073,258.1,172,14905.0
490074,6500.63,1200,
490075,381.0,84,18229.0
490077,115.50999999999999,65,17293.0
490078,584.35,159,17853.0
490079,160.35,85,15550.0
490080,311.7,126,13531.0
490081,723.09,323,13786.0
490082,337.9,262,14952.0
490083,2506.14,1132,14031.0
490085,170.06,108,12937.0
490086,799.2,432,17949.0
490087,898.1800000000001,668,15601.0
490088,17.0,2,15581.0
490089,466.20000000000005,252,17949.0
490090,41.18,23,15581.0
490091,636.0,600,17949.0
490092,510.87,297,16612.0
490093,1794.7,896,12949.0
490094,851.76,504,17949.0
490095,186.36,54,14958.0
490097,273.52,144,17329.0
490099,1225.98,526,16736.0
490100,869.9300000000001,403,13001.0
490101,338.5,150,14644.0
490106,314.37,275,14898.0
490107,110.69999999999999,30,14662.0
490108,239.68,444,17414.0
490109,415.0,204,14755.0
490110,30.15,13,14755.0
490111,319.96000000000004,220,17576.0
490112,313.19,161,13037.0
490113,39.2,16,14710.0
490114,257.62,160,18168.0
490115,342.6,316,17679.0
490116,122.39999999999999,48,17679.0
490118,317.04,151,17851.0
490119,108.75,75,12931.0
490121,112.03,65,14750.0
490123,0.0,184,
490124,304.92,106,16791.0
490125,297.05,109,16558.0
490127,569.1800000000001,203,14156.0
490128,236.70000000000002,150,15884.0
490132,197.3,89,17343.0
490134,151.65,59,17372.0
490135,387.87,127,16003.0
490136,159.95,69,17432.0
490137,160.69,104,14713.0
490138,339.78,198,16722.0
490139,210.55,79,12577.0
490140,407.22,227,12872.0
490141,308.75,158,15755.0
490142,1261.0,356,14258.0
490143,1610.52,1687,14286.0
490144,337.1,152,13154.0
490145,989.18,439,14564.0
490147,510.64,472,13408.0
490149,6529.11,1214,
490150,0.0,80,
490151,160.39,117,16645.0
490152,682.65,238,12714.0
490154,288.79,110,16335.0
490156,455.36,262,13093.0
490157,138.0,40,16736.0
490158,508.26,281,12759.0
490159,19.5,2,13666.0
490160,244.79999999999998,96,13777.0
490161,825.94,653,17160.0
490162,280.2,206,13946.0
490163,141.63,115,14723.0
490164,1058.4,632,14961.0
490166,371.85,175,14735.0
490167,312.21,241,18061.0
490171,29.28,32,15581.0
490177,18.0,4,
490186,3.75,1,
490192,8.95,1,
490202,410.0,188,15078.0
490209,908.0400000000001,484,17389.0
490212,108.95,41,16883.0
490214,319.15,201,13175.0
490218,67.67999999999999,48,17076.0
490219,155.65,63,13948.0
490229,1185.16,713,18223.0
490247,351.3,208,16192.0
490258,20.4,24,15999.0
490266,231.2,50,15109.0
490272,519.89,272,14680.0
490277,1077.6,600,18092.0
490279,297.68,154,16891.0
490281,311.2,148,13481.0
490282,107.95,43,13807.0
490284,429.66,209,14979.0
490285,373.74,210,16656.0
490286,762.1,147,14527.0
490287,367.1,218,16746.0
490288,332.16,112,17157.0
490289,273.75,143,15309.0
490290,164.03,85,16325.0
490291,424.03,173,16541.0
490292,426.43,150,16723.0
490293,137.4,130,16699.0
490294,378.96,298,16710.0
490295,435.88,504,12510.0
490297,694.2,328,13162.0
490298,1523.2,954,15382.0
490299,618.2700000000001,192,13680.0
490300,237.99,172,12970.0
490301,345.27,93,15311.0
490302,300.32,126,17841.0
490303,106.25,55,17935.0
490304,843.01,339,17593.0
490305,726.57,289,17243.0
490308,194.53,85,12835.0
490310,231.90000000000003,42,17151.0
490311,307.65000000000003,201,16451.0
490312,326.13,352,17961.0
490313,137.95,49,17127.0
490320,867.89,1327,13694.0
490323,235.44,200,14087.0
490324,672.0,320,13694.0
490326,149.10000000000002,62,13733.0
490327,990.0,600,13694.0
490331,298.99,115,18181.0
490340,630.39,363,13174.0
490341,334.65,270,13329.0
490342,130.8,96,17421.0
490344,18.0,1,
490345,6.7,4,
490346,216.6,156,16351.0
490347,109.4,68,15684.0
490349,32.25,9,17884.0
490351,24.15,5,
490352,11.8,4,
490353,494.63,378,15514.0
490355,538.1099999999999,287,13093.0
490356,117.13000000000001,103,17884.0
490359,59.5,10,18225.0
490360,126.8,34,13679.0
490361,48.05,22,
490362,205.35,199,12748.0
490363,138.24,192,13199.0
490364,103.95,25,13487.0
490365,351.6,120,17018.0
490366,227.25,147,18071.0
490367,79.6,8,16593.0
490368,159.1,18,14238.0
490369,230.2,44,15223.0
490370,452.95,177,17593.0
490371,233.70999999999998,185,13021.0
490372,434.15,95,17115.0
490373,502.54,146,17850.0
490374,136.75,65,14239.0
490375,350.55,185,13999.0
490376,796.5500000000001,389,13958.0
490377,15.0,12,13958.0
490378,224.1,134,13641.0
490380,478.74,142,17850.0
490381,97.11,141,15420.0
490382,760.69,397,12359.0
490383,148.3,50,12820.0
490385,130.32,348,16410.0
490386,549.77,473,15240.0
490387,450.84000000000003,130,17850.0
490388,146.62,84,16158.0
490389,689.5,611,15484.0
490390,256.2,104,14709.0
490391,304.1,100,15057.0
490392,203.32,56,14867.0
490393,281.02,281,17642.0
490394,870.2800000000001,260,17850.0
490395,283.15,167,13813.0
490396,269.15,77,13589.0
490397,309.1,142,12417.0
490398,567.71,236,17920.0
490399,441.63,115,12975.0
490400,689.9,183,16104.0
490401,139.25,49,17150.0
490403,291.09,135,17920.0
490404,188.69,33,16277.0
490405,260.65,57,17244.0
490408,413.44,128,17850.0
490430,253.55,83,15260.0
490458,817.4399999999999,388,12583.0
490459,947.39,414,15555.0
490461,710.84,380,13736.0
490463,305.5,50,14133.0
490464,118.25999999999999,43,15571.0
490465,918.35,466,13448.0
490466,183.6,79,17085.0
490467,280.94,169,15059.0
490468,204.24,164,14468.0
490470,242.96,166,16395.0
490471,212.13,71,15878.0
490472,619.24,340,16485.0
490473,204.65,185,15860.0
490474,748.42,336,13373.0
490476,211.62,98,14608.0
490477,533.14,158,17850.0
490478,298.25,128,14896.0
490479,1450.2,778,16779.0
490481,21.25,5,16964.0
490482,289.3,147,15983.0
490483,132.4,28,13782.0
490484,186.6,44,16964.0
490485,125.94,63,14454.0
490486,90.0,72,16779.0
490487,81.3,32,14717.0
490488,647.82,503,16718.0
490489,266.19,87,15751.0
490490,546.48,312,14546.0
490491,175.20000000000002,85,17848.0
490493,12.75,3,15751.0
490494,189.7,80,17561.0
490496,666.61,335,15547.0
490499,406.70000000000005,356,17406.0
490500,355.13,188,14479.0
490501,283.14,422,16710.0
490502,101.4,26,17969.0
490503,498.02,207,14548.0
490504,385.97,94,15311.0
490505,98.16,34,14548.0
490506,25.46,47,17916.0
490508,450.84000000000003,130,17850.0
490511,626.6,208,13319.0
490512,235.13,85,14606.0
490514,137.75,47,16773.0
490515,147.4,38,15479.0
490516,504.54,146,17850.0
490517,21.95,24,
490518,474.32,290,15822.0
490519,213.65,89,13890.0
490521,235.84,102,13211.0
490522,150.4,56,15641.0
490523,10.97,7,
490524,436.18,234,14123.0
490525,255.00000000000003,92,13019.0
490526,533.97,315,17858.0
490527,182.01,105,14940.0
490528,115.05,49,16686.0
490529,48.89,28,16686.0
490530,161.8,56,15691.0
490531,166.95,95,16436.0
490533,368.15000000000003,229,17610.0
490534,245.63,120,17530.0
490535,560.58,182,17850.0
490536,221.9,78,13491.0
490537,209.41,149,14003.0
490538,504.54,146,17850.0
490539,346.0,188,12839.0
490541,294.79999999999995,97,
490542,716.35,120,14911.0
490543,0.0,222,
490545,34.0,4,17557.0
490547,311.2,88,14738.0
490548,504.54,146,17850.0
490557,463.0,318,16124.0
490561,41.300000000000004,14,15260.0
490563,808.12,372,12471.0
490564,367.9,132,12471.0
490566,14.3,6,
490569,411.20000000000005,122,17739.0
490577,187.19,112,16556.0
490603,274.54,145,14695.0
490604,682.4,612,14828.0
490605,191.74,88,15115.0
490606,426.0,98,17850.0
490607,173.54999999999998,71,13693.0
490608,163.77,74,14955.0
490609,218.33,166,14037.0
490610,211.62,150,18077.0
490611,312.65,135,13905.0
490612,610.95,441,17508.0
490613,224.98,96,16768.0
490616,214.79999999999998,128,13984.0
490618,44.7,22,13984.0
490625,339.8,84,14543.0
490636,425.09000000000003,164,13564.0
490637,452.15999999999997,236,13495.0
490638,147.1,58,13190.0
490640,321.00000000000006,156,14408.0
490641,51.0,60,17707.0
490642,446.4,315,15358.0
490653,990.48,396,17044.0
490657,208.82999999999998,119,14471.0
490659,380.84000000000003,112,17850.0
490665,76.5,30,17436.0
490667,228.4,118,13234.0
490668,312.33000000000004,199,16525.0
490669,214.17000000000002,68,15716.0
490670,143.70000000000002,63,14574.0
490671,488.16,144,16684.0
490672,660.96,504,16684.0
490673,156.5,62,14540.0
490674,242.1,106,14307.0
490675,637.14,206,14695.0
490676,451.44,122,17850.0
490677,151.72,100,18219.0
490678,380.65000000000003,93,12747.0
490679,371.51,332,18162.0
490680,293.35,245,17441.0
490681,164.75,65,17988.0
490682,285.9,68,12600.0
490683,413.00000000000006,304,17865.0
490684,74.56,62,12523.0
490685,1028.07,996,13206.0
490686,153.28,106,14512.0
490687,924.95,325,14911.0
490688,0.0,270,
490689,307.90999999999997,133,17865.0
490690,207.9,58,16353.0
490691,306.0,72,16353.0
490692,195.78,203,16018.0
490693,190.47,97,14670.0
490694,1244.3200000000002,408,13089.0
490695,108.4,40,14590.0
490697,378.84000000000003,112,17850.0
490698,4.25,1,
490699,20.58,16,
490703,154.2,76,13070.0
490704,355.38,90,17457.0
490705,204.0,80,12913.0
490706,1086.53,330,17865.0
490707,45.9,70,17865.0
490708,241.05,95,15421.0
490709,188.89000000000001,112,17884.0
490710,332.70000000000005,84,17990.0
490711,448.96,148,17841.0
490712,331.40000000000003,100,13148.0
490714,4.95,1,17841.0
490716,0.0,6,
490717,449.95,209,17364.0
490718,485.31,182,12443.0
490719,665.15,441,13042.0
490720,357.87,85,15694.0
490722,386.39,217,16717.0
490723,7.95,1,
490724,716.04,306,13767.0
490725,343.44,308,13694.0
490726,561.5999999999999,288,13694.0
490727,285.35,147,17231.0
490728,221.52,198,16702.0
490733,412.6,71,12540.0
490734,306.55,105,13267.0
490737,389.62,264,17270.0
490738,25.5,10,16436.0
490741,6370.46,1236,
490745,5201.38,1041,
490747,8.92,3,13393.0
490749,580.6400000000001,268,14113.0
490750,312.96,192,15369.0
490751,1429.83,309,12358.0
490752,356.40000000000003,96,18259.0
490753,322.65,215,17047.0
490754,302.78000000000003,138,14136.0
490755,338.34000000000003,216,16735.0
490757,425.59000000000003,221,14215.0
490758,0.0,3000,
490759,182.88,48,15971.0
490760,10.0,1,14295.0
490761,255.04,123,13382.0
490762,323.39,241,13025.0
490763,1019.9999999999999,400,16013.0
490764,306.45,107,14558.0
490767,44.32,22,18002.0
490769,221.0,180,16013.0
490770,135.94,65,17854.0
490782,707.93,255,15079.0
490785,2590.7999999999997,984,16029.0
490786,30.599999999999998,36,15079.0
490789,192.54999999999998,89,18271.0
490796,870.63,273,14290.0
490797,155.7,90,17268.0
490799,28.75,9,
490800,7.800000000000001,12,14735.0
490801,660.0,400,16029.0
490802,19.5,10,17067.0
490803,207.32,148,17067.0
490804,487.09000000000003,319,16560.0
490805,215.0,94,14861.0
490806,39.400000000000006,13,13485.0
490808,134.04,91,17371.0
490809,159.0,48,13408.0
490810,259.92,128,13408.0
490811,309.7,246,18145.0
490817,1806.19,762,15311.0
490823,304.8,288,14841.0
490834,559.98,324,16400.0
490836,2.9,2,17988.0
490838,20.25,3,17371.0
490846,129.3,272,17155.0
490847,249.64,371,15093.0
490851,311.8,90,13643.0
490855,363.6,216,13777.0
490863,88.05,59,17852.0
490871,211.41,315,15456.0
490881,10.0,1,16210.0
490893,111.24000000000001,76,13571.0
490899,792.84,473,16732.0
490905,656.85,461,16940.0
490917,312.9,74,15162.0
490920,109.08,22,18203.0
490921,42.300000000000004,12,16163.0
490922,114.3,30,14494.0
490924,123.1,91,17978.0
490925,648.5,277,13078.0
490926,249.17,121,15031.0
490927,304.20000000000005,84,17230.0
490928,404.44,145,14085.0
490930,81.12,48,13410.0
490932,12.4,8,14085.0
490933,2452.56,888,14063.0
490936,366.9,172,12785.0
490937,2285.58,1376,13081.0
490938,207.65,132,14605.0
490940,0.95,1,14605.0
490941,628.62,188,14527.0
490944,151.2,48,14285.0
490945,97.55,21,16892.0
490948,15.0,1,16805.0
490950,6.35,1,
490951,11.8,4,
490952,0.85,1,
490953,966.6600000000001,428,13204.0
490954,102.82,103,15924.0
490955,8.7,2,
490956,2442.7200000000003,1392,15413.0
490957,3796.37,1749,15823.0
490958,328.8,120,13576.0
490959,507.9,138,12682.0
490960,9.95,1,
490961,194.75,174,14108.0
490962,683.14,430,15061.0
490963,4646.49,884,
490964,104.15,51,14646.0
490966,432.96,100,17178.0
490968,484.0,276,13798.0
490971,372.64,224,18275.0
490972,728.0500000000001,413,14911.0
490978,193.08,140,17329.0
490981,313.45,103,13855.0
490982,8.82,4,17329.0
490984,303.45,162,15298.0
490989,462.46,282,15674.0
490990,263.4,102,14606.0
490992,438.74,168,14679.0
490998,379.13,232,16253.0
490999,24.65,2,13883.0
491006,272.5,130,13557.0
491007,213.27,226,16204.0
491008,191.89000000000001,87,15633.0
491009,255.68,208,15203.0
491010,318.0,320,15194.0
491011,389.99,213,16210.0
491014,549.09,285,13136.0
491024,383.04,144,17157.0
491025,325.44,96,17157.0
491026,162.72,48,15181.0
491033,328.02000000000004,174,17188.0
491034,305.5,122,13491.0
491035,295.35,81,13455.0
491038,528.9,172,13097.0
491039,301.0,60,15291.0
491041,4475.84,878,
491042,14.65,3,
491043,4725.7699999999995,919,
491044,234.38,74,13114.0
491045,303.2,64,12747.0
491048,519.42,262,13768.0
491049,748.9,678,14135.0
491050,333.8,196,12712.0
491051,408.51,261,14291.0
491053,0.0,50,
491054,320.2,108,13202.0
491055,219.55,65,14732.0
491056,1007.74,358,17428.0
491057,77.8,28,14239.0
491058,307.95,193,16945.0
491059,285.29999999999995,174,12487.0
491060,392.40000000000003,72,17929.0
491061,233.53000000000003,81,13672.0
491062,124.0,80,12948.0
491063,203.3,46,16771.0
491064,181.45,66,16782.0
491067,333.3,338,18051.0
491068,700.4,267,15768.0
491069,521.0500000000001,418,12921.0
491070,383.8,68,16912.0
491071,194.10000000000002,106,12924.0
491072,15.45,5,12924.0
491073,95.75999999999999,324,15403.0
491074,23.6,8,14173.0
491075,187.8,112,14211.0
491077,418.05,162,14593.0
491078,259.11,137,16802.0
491079,588.85,171,14295.0
491081,308.0,102,15302.0
491082,1248.3,533,16709.0
491083,322.98,150,17954.0
491085,130.6,12,13727.0
491086,267.26,143,15911.0
491087,10.08,24,
491088,12.15,5,
491089,200.23999999999998,64,14990.0
491090,351.45,123,13141.0
491091,3249.32,1544,16705.0
491092,844.12,351,13680.0
491093,1196.6799999999998,362,12709.0
491094,216.0,1,12709.0
491095,135.0,44,14171.0
491096,175.95000000000002,85,13983.0
491097,338.13,216,17296.0
491098,179.78,67,14080.0
491100,63.5,14,17631.0
491101,283.88,202,17449.0
491102,50.55,15,17184.0
491103,163.26,174,14107.0
491104,1552.9,322,12917.0
491105,207.58,139,16755.0
491106,0.0,90,
491107,0.0,180,
491109,143.36,104,13825.0
491110,1.2000000000000002,6,
491111,316.62,183,15005.0
491112,174.33,111,13770.0
491113,890.38,430,14505.0
491114,2.95,1,
491115,0.0,40,
491116,301.57,139,15441.0
491117,0.0,12,
491118,554.99,369,16933.0
491119,218.49999999999997,108,
491120,0.0,30,
491122,601.6,412,13426.0
491123,377.06,382,17043.0
491124,327.38,362,13498.0
491125,966.24,424,15311.0
491126,389.34000000000003,274,16186.0
491127,256.2,68,18065.0
491129,50.699999999999996,12,18065.0
491131,1.7,2,16395.0
491132,171.6,72,17880.0
491133,480.0,1500,13848.0
491134,11.25,3,
491135,1.25,1,
491136,343.52,504,16746.0
491138,179.85,75,16168.0
491139,28.85,11,
491140,0.0,65,
491142,0.0,2,
491143,476.03999999999996,52,16029.0
491144,873.48,228,15077.0
491145,135.0,44,13728.0
491146,178.98000000000002,94,15209.0
491147,34.3,20,14710.0
491148,3882.66,2604,15061.0
491149,289.92,360,15841.0
491150,435.6,240,16525.0
491151,661.16,260,14134.0
491152,436.8,124,15465.0
491153,300.35,147,16143.0
491154,289.85,123,17603.0
491155,5596.15,1037,
491158,275.73,270,15523.0
491159,291.0,140,15311.0
491160,377.57,147,14911.0
491161,109.35,37,14942.0
491163,179.6,72,13693.0
491164,33.55,17,15581.0
491165,737.7,422,14293.0
491169,8.5,10,12417.0
491170,328.99,415,17861.0
491171,203.85000000000002,55,15039.0
491172,730.59,450,16843.0
491173,248.49,151,15858.0
491174,228.96,216,17388.0
491175,347.54,169,15085.0
491176,1213.02,1,13091.0
491177,105.78000000000002,270,15642.0
491178,384.49,199,14099.0
491179,7.95,1,
491180,294.52000000000004,139,15719.0
491181,592.2,124,15854.0
491182,190.3,38,13019.0
491183,945.58,518,12978.0
491184,139.85000000000002,3,17027.0
491185,421.17,208,17377.0
491186,269.72,137,15889.0
491187,97.5,50,16748.0
491188,79.15,27,17377.0
491189,31.200000000000003,48,14113.0
491191,71.78999999999999,59,16459.0
491192,509.3,133,14527.0
491193,762.98,872,13091.0
491194,302.70000000000005,110,13173.0
491195,658.5,182,15805.0
491196,165.5,34,15912.0
491197,126.57,143,15912.0
491198,95.55,27,16596.0
491199,143.72,111,15912.0
491200,165.0,100,16663.0
491201,413.1,114,12989.0
491202,5.45,3,
491203,580.15,97,16985.0
491204,195.23,165,14648.0
491205,1361.91,910,16779.0
491207,105.75999999999999,97,17884.0
491209,278.08,156,15573.0
491210,785.62,256,15367.0
491211,1766.28,740,14895.0
491212,873.61,1448,14062.0
491226,448.2,644,15157.0
491235,307.2,182,15623.0
491238,170.45,133,16011.0
491240,910.76,374,13831.0
491247,436.40000000000003,352,14626.0
491314,1505.4,924,15032.0
491317,683.91,331,16670.0
491318,369.6,96,14608.0
491319,181.63,73,15882.0
491320,178.2,108,15380.0
491321,834.25,491,17032.0
491340,517.7,520,12979.0
491345,13.5,2,
491356,282.03000000000003,375,15738.0
491358,99.60000000000001,29,14590.0
491368,164.31,84,14043.0
491385,328.7,102,17675.0
491393,12.7,2,
491394,388.52,118,15916.0
491395,204.26,42,16901.0
491396,427.86,272,17610.0
491397,155.79,67,12933.0
491399,171.5,56,14507.0
491400,427.52,260,17696.0
491401,218.05,193,18276.0
491403,588.83,265,14030.0
491405,70.80000000000001,24,15823.0
491406,787.92,481,14081.0
491407,130.62,114,14030.0
491408,133.75,25,17351.0
491421,208.9,45,16798.0
491422,864.8900000000001,687,17512.0
491424,177.91,35,13542.0
491425,221.85,67,16905.0
491426,893.61,714,15494.0
491427,583.7,306,14702.0
491429,375.66,114,17165.0
491431,1980.0,1200,15769.0
491432,325.64,104,16293.0
491433,233.10000000000002,106,18172.0
491434,327.32,260,17412.0
491435,243.87,83,14606.0
491436,10.14,6,14606.0
491437,439.18,146,13408.0
491438,375.18,146,18268.0
491439,306.0,120,15291.0
491440,1350.0,1080,16029.0
491442,102.0,40,16156.0
491443,574.07,195,15311.0
